id,field,category,grain,severity,points,conditional_escalation,population_mode,why_this_severity
B1,Business Name,business,table,HIGH,3,,declared,"Fails the findability lens: without it, discovery requires insider knowledge of physical naming conventions, defeating the purpose of an enterprise catalog."
B2,Business Description,business,table,HIGH,3,,declared,Fails the interpretability lens: an undescribed table forces every consumer to guess or interrupt the owning team; for AI consumption the model will hallucinate a meaning.
B3,Column Business Definitions,business,column,HIGH,3,,declared,Correct use is impossible without knowing what each column means; also the highest-impact field for text-to-SQL and semantic-layer accuracy.
B4,Business Domain / Subject Area,business,table,HIGH,3,,declared,"Fails the findability lens and breaks downstream automation (domain-based access policies, dashboards, ownership routing) that assumes every asset is classified."
B5,Data Owner,business,table,HIGH,3,,declared,"Fails the exposure lens: regulators, auditors and access-approval workflows all require an accountable party. Absence makes governance structurally impossible."
B6,Data Steward,business,table,MEDIUM,2,,declared,"Accountability is fully covered by B5; the steward is an efficiency layer. If absent, requests route to the owner - slower, but nothing is blocked and no exposure is created."
B7,Business Criticality Rating,business,table,MEDIUM,2,trigger:ESC-2,declared,Its absence doesn't block correct use of the data itself; it degrades the organization's ability to prioritize.
B8,Known Use Cases / Key Consumers,business,table,MEDIUM,2,,declared,"Partial substitutes exist (L5 observed lineage, query logs) and absence slows change management rather than preventing correct use; inherently incomplete, and HIGH fields must be objectively verifiable."
B9,Glossary Term Linkage,business,table+column,MEDIUM,2,,declared,"B2/B3 already guarantee local interpretability; linkage adds cross-asset consistency - valuable but degrading rather than blocking, and dependent on glossary maturity."
B10,Synonyms & Aliases,business,table,LOW,1,,declared,"Pure discovery enrichment: search works without it, just better with it."
B11,Related KPIs / Metrics,business,table,LOW,1,,declared,"Valuable context, but correctness and safety of use don't depend on it; KPI lineage is often better derived from BI tooling."
B12,Data Classification,business,table,HIGH,3,,hybrid,"Fails the exposure lens absolutely: unclassified data defaults to whatever handling is most convenient, which for sensitive data means under-protected. Every security framework treats classification as table stakes."
B13,Sensitive Data Flags (PII/PHI/financial/secret),business,column,HIGH,3,trigger:ESC-1,hybrid,Direct legal exposure: privacy regimes require knowing where personal data resides; a breach response without column-level flags cannot even scope what was exposed.
B14,Regulatory Applicability,business,table,HIGH,3,trigger:ESC-4,declared,Regulatory obligations exist whether or not documented - documenting them is the only way to systematically comply.
B15,Access Control Policy,business,table,HIGH,3,,declared,"Undocumented access models produce both over-provisioning (security risk, audit findings) and under-provisioning (data goes unused). Auditors' first question is 'who can access this and who approved it?'"
B16,Retention & Disposal Policy,business,table,HIGH,3,,declared,"Exposure on both edges: retention violations are among the most commonly cited findings in data-related enforcement actions, and unbounded retention silently grows risk daily."
B17,Protection Requirements (Masking/Encryption),business,column,MEDIUM,2,target:ESC-1,hybrid,"For non-sensitive data, protection requirements are largely policy-derived from B12. Once B13 flags sensitive columns, undocumented protection rules mean protection is applied inconsistently or not at all."
B18,Certification / Attestation Status,business,table,MEDIUM,2,,system_generated,"Meta-governance: a missing attestation doesn't itself create exposure, it removes assurance that other fields are current. Classifying it HIGH would make certification circular."
B19,Sharing & Contractual Constraints,business,table,MEDIUM,2,,declared,Only a subset of assets carry such constraints; where none exist the field is a cheap explicit 'none'. Organizations with heavy external licensing should consider promoting to HIGH for licensed assets.
B20,Audit & Traceability Requirements,business,table,MEDIUM,2,target:ESC-4,declared,"Baseline platform logging covers ordinary assets adequately; regulated assets carry explicit, testable audit obligations that must not be discovered during the audit."
B21,Consent / Purpose Limitation,business,table,LOW,1,target:ESC-1,declared,"For non-personal data, purpose limitation is usually unconstrained and the field is inert. For personal data, using data beyond its declared purpose is a violation even when access was authorized - the clearest case for conditional severity."
O1,Refresh Frequency & Load Schedule,operational,table,HIGH,3,,declared,"Fails the safe-use lens: without declared cadence consumers cannot evaluate fitness for their use case, and O2 has nothing to be compared against."
O2,Freshness (Last Successful Load),operational,table,HIGH,3,,harvested,Stale data consumed as current is one of the most common and costly data failures; O1 without O2 is a promise nobody can verify.
O3,Load Pattern & Watermark Definition,operational,table,HIGH,3,applicability:ESC-3,config_harvested,"For incrementally loaded tables an undocumented watermark is a correctness time bomb: duplicates or missed records on reload, un-reproducible backfills, silently dropped late-arriving data."
O4,DQ Checks & Latest Results,operational,table+column,HIGH,3,,hybrid,"An asset with zero declared quality checks offers consumers no basis for trust and the organization no early warning of corruption. Standard requires declared checks with published results, not a specific tool."
O5,SLA / Availability Expectation,operational,table,MEDIUM,2,target:ESC-2,declared,"For standard assets, O1+O2 let consumers self-serve freshness decisions. For business-critical assets, absence of a committed SLA and escalation path is an operational-risk gap."
O6,Volume Metrics & Growth Trend,operational,table,MEDIUM,2,,harvested,Monitoring accelerant rather than use-blocker; O4 owns correctness. Medium (not Low) because volume anomaly detection is nearly free and catches partial loads that per-row DQ checks miss.
O7,Producing Pipeline / Job Identifiers,operational,table,MEDIUM,2,,harvested,"Affects speed of repair, not correctness of use; platform teams can find producers without it, slowly. Fully automatable, so should approach 100% coverage at zero marginal cost."
O8,Incident & Failure History,operational,table,LOW,1,,harvested,Retrospective context with no bearing on whether current data can be used correctly; best auto-derived from incident tooling.
O9,Usage & Access Statistics,operational,table,LOW,1,,harvested,"Describes the audience, not the usability; absence blocks nothing."
T1,Physical Identifiers & Location,technical,table,HIGH,3,,harvested,Without a canonical identifier the metadata record cannot be reliably bound to the physical object - every other field becomes unverifiable.
T2,Column Structure,technical,column,HIGH,3,,harvested,"Fails the safe-use lens directly: type and nullability errors are a dominant cause of silent data corruption. Fully automatable, so there is no cost justification for absence."
T3,Primary / Unique Key Definition,technical,table,HIGH,3,,harvested,"Unknown grain makes every join a gamble; fan-out from a mis-assumed key produces silently inflated metrics - the most expensive class of analytical error. Analytical platforms rarely enforce keys, so the key must be declared."
T4,Foreign Keys & Join Relationships,technical,table,MEDIUM,2,,harvested,"Correct single-table use is fully possible without it, and relationships can often be inferred from T3 + B3 + naming. Biggest accelerator of correct multi-table use, but an accelerator is not a blocker."
T5,"Data Format, Encoding & Conventions",technical,table,MEDIUM,2,,harvested,"Modern platforms standardize much of this, and highest-risk cases (units, currency) must appear in B3. Remains Medium because convention errors are silent and systematic when they occur."
T6,Partitioning / Distribution Strategy,technical,table,MEDIUM,2,,harvested,"Efficiency and cost concern, not correctness - queries return right answers either way. Medium (not Low) because at enterprise scale uninformed query patterns mean material compute cost and missed SLAs."
T7,Value Domains / Reference Values,technical,column,MEDIUM,2,,harvested,B3 already requires each column's meaning; T7 deepens it to value level. Absence degrades precision of use rather than blocking it.
T8,Schema Version & Change History,technical,table,MEDIUM,2,,harvested,The current-state contract (T1-T3) is what safe use requires; history is what efficient debugging and audit require. Fully automatable via DDL diffing.
T9,Cardinality Classification,technical,column,LOW,1,,harvested,"Not a correctness requirement; auto-derivable, so it should be cheap enrichment."
L1,Source System of Origin,lineage,table,HIGH,3,,harvested,"Without origin, consumers cannot distinguish authoritative data from copies, and audits cannot trace provenance to a real-world source. Inherits the HIGH rationale of legacy T4."
L2,Upstream Dataset Lineage,lineage,table,HIGH,3,,harvested,"One missing edge breaks graph traversal for everything downstream of it, so completeness of this field is what makes the lineage graph computable at all. Inherits the HIGH rationale of legacy T4."
L3,Transformation Logic Summary,lineage,table,MEDIUM,2,,config_harvested,B2/B3 carry the meaning contract; transformation summaries accelerate debugging and validation rather than gate correct use. The code remains the precise truth - this is the readable map of it.
L4,Column-Level Lineage,lineage,column,MEDIUM,2,,harvested,"Extremely high value for impact analysis and automated propagation of sensitivity flags, but tooling-dependent and expensive to guarantee; table-level lineage (L2) covers the HIGH-severity provenance need. Candidate for promotion as parsing tooling matures."
